,participant,word_count,start,end,duration
0,FA1,2,24039,25719,1680
1,FA1,2,27329,29409,2080
2,CHI,0,28829,29329,500
3,FA1,1,29764,30304,540
4,FA1,1,31629,32179,550
5,CHI,0,33276,33746,470
6,FA1,1,34171,34791,620
7,FA1,2,38406,38806,400
8,FA1,6,40806,41656,850
9,FA1,7,42511,44151,1640
10,FA1,1,45581,46441,860
11,CHI,0,46444,47464,1020
12,FA1,6,47626,49226,1600
13,CHI,0,49904,50324,420
14,FA1,3,50669,52759,2090
15,CHI,0,52359,52749,390
16,FA1,1,53129,53489,360
17,CHI,0,54654,55034,380
18,FA1,1,55174,55764,590
19,CHI,1,56159,56479,320
20,FA1,1,56524,57324,800
21,CHI,0,57284,57714,430
22,FA1,1,57924,58834,910
23,CHI,0,59284,59814,530
24,FA1,5,60621,62191,1570
25,CHI,0,61529,61949,420
26,FA1,1,62254,62624,370
27,CHI,0,63634,64094,460
28,FA1,1,64209,64809,600
29,CHI,0,64974,65484,510
30,FA1,1,65554,66304,750
31,CHI,0,68244,68634,390
32,FA1,1,68804,69394,590
33,CHI,0,69664,70094,430
34,FA1,1,70404,71044,640
35,CHI,0,72499,73049,550
36,FA1,1,73189,73829,640
37,CHI,0,74224,74614,390
38,FA1,1,74774,75454,680
39,CHI,0,75589,76769,1180
40,CHI,0,77194,78644,1450
41,FA1,5,79271,79751,480
42,CHI,0,80919,82659,1740
43,FA1,1,82734,83254,520
44,CHI,0,83299,86329,3030
45,FA1,1,84219,86149,1930
46,FA1,19,87076,91116,4040
47,CHI,0,88214,91134,2920
48,CHI,0,91529,92699,1170
49,FA1,1,92779,93349,570
50,CHI,0,93819,98149,4330
51,FA1,7,95009,97139,2130
52,FA1,1,97391,97901,510
53,FA1,3,98616,99766,1150
54,FA1,1,100486,100916,430
55,FA1,2,103801,104151,350
56,FA1,1,107471,107671,200
57,FA1,1,108591,108901,310
58,FA1,5,109526,110866,1340
59,CHI,0,111464,111864,400
60,FA1,5,112026,113586,1560
61,CHI,0,114109,114579,470
62,FA1,5,114609,116779,2170
63,CHI,0,117269,119749,2480
64,FA1,1,118046,118656,610
65,FA1,2,119804,121164,1360
66,CHI,0,122259,122419,160
67,FA1,8,123074,125054,1980
68,FA1,8,127321,129541,2220
69,FA1,3,133004,134764,1760
70,FA1,4,136969,141969,5000
71,FA1,4,144804,146964,2160
72,FA1,5,148861,150561,1700
73,FA1,5,152001,154541,2540
74,FA1,3,158799,160119,1320
75,FA1,4,163706,165526,1820
76,CHI,0,163706,165526,1820
77,FA1,6,166626,168446,1820
78,FA1,1,170051,170581,530
79,FA1,8,174316,176606,2290
80,FA1,3,186421,187091,670
81,CHI,0,186984,187884,900
82,FA1,1,187991,188341,350
83,CHI,0,188544,188874,330
84,CHI,1,190869,191479,610
85,CHI,0,192689,197219,4530
86,FA1,5,194376,195596,1220
87,FA1,1,197501,197681,180
88,FA1,1,199406,199516,110
89,FA1,8,203604,206424,2820
90,FA1,2,206786,207546,760
91,CHI,0,208716,210366,1650
92,FA1,2,208726,209116,390
93,FA1,1,211779,213259,1480
94,CHI,0,212844,213764,920
95,FA1,1,214896,215086,190
96,CHI,0,218494,221224,2730
97,FA1,7,219706,221076,1370
98,FA1,1,221699,222639,940
99,FA1,3,223124,224104,980
100,CHI,0,223464,224204,740
101,CHI,0,224519,225179,660
102,FA1,4,224551,225341,790
103,FA1,3,225874,228204,2330
104,FA1,5,229004,230324,1320
105,FA1,4,230539,231439,900
106,CHI,0,231714,232264,550
107,FA1,7,232814,235194,2380
108,CHI,0,234109,234629,520
109,FA1,7,236111,237631,1520
110,CHI,0,236484,237894,1410
111,CHI,0,238691,239211,520
112,FA1,6,240131,241061,930
113,CHI,0,241364,243014,1650
114,FA1,3,243096,244346,1250
115,CHI,0,244674,245914,1240
116,FA1,1,245961,246781,820
117,FA1,1,248874,249714,840
118,CHI,0,255616,256116,500
119,FA1,4,256596,257266,670
120,FA1,1,257591,257781,190
121,CHI,0,258126,258616,490
122,FA1,6,258981,260421,1440
